,特殊轨迹型,生涯波动型,长青稳定型,total_importance
ast_to_ratio,0.1611326,0.063392915,0.118253306,0.3427788
points_sum,0.14251435,0.16729392,0.04345249,0.35326076
three_point_pct,0.16239053,0.09901296,0.098967284,0.36037078
points_per36,0.09426789,0.17227668,0.09448943,0.361034
true_shooting_pct,0.13596189,0.05278315,0.1794568,0.36820185
minutes_sum,0.14056212,0.05438703,0.2277293,0.42267847
blocks_per36,0.22559682,0.039328706,0.16181594,0.42674145
points_trend,0.16217338,0.08438741,0.22871743,0.4752782
win_shares_cum,0.29573816,0.078475356,0.12090262,0.49511614
usage_pct,0.26066455,0.14040671,0.13484895,0.5359202
offensive_win_shares_cum,0.30181426,0.04827748,0.20112772,0.55121946
age_mean,0.2930615,0.13202757,0.21043657,0.63552564
